scenario,replicate,turtle_id,step,time_s,x_m,y_m,outcome
baseline,0,22,17,85.0,15.5,0.0,active
baseline,0,23,17,85.0,15.5,797.5,active
baseline,0,24,17,85.0,14.0,502.0,active
baseline,0,25,17,85.0,17.5,793.5,active
baseline,0,26,17,85.0,13.0,94.5,active
baseline,0,27,17,85.0,15.0,96.0,active
baseline,0,28,17,85.0,16.5,595.0,active
baseline,0,29,17,85.0,11.5,194.0,active
baseline,0,0,18,90.0,7.0,398.0,active
baseline,0,1,18,90.0,15.5,96.5,active
baseline,0,2,18,90.0,12.5,98.0,active
baseline,0,3,18,90.0,14.5,596.5,active
baseline,0,4,18,90.0,15.5,0.5,active
baseline,0,5,18,90.0,15.5,101.0,active
baseline,0,6,18,90.0,12.5,791.5,active
baseline,0,7,18,90.0,15.5,596.5,active
baseline,0,8,18,90.0,12.5,191.0,active
baseline,0,9,18,90.0,5.5,394.0,active
baseline,0,10,18,90.0,16.0,193.5,active
baseline,0,11,18,90.0,15.5,694.5,active
baseline,0,12,18,90.0,3.0,394.5,active
baseline,0,13,18,90.0,16.5,97.0,active
baseline,0,14,18,90.0,8.0,397.5,active
baseline,0,15,18,90.0,13.0,92.5,active
baseline,0,16,18,90.0,15.5,601.5,active
baseline,0,17,18,90.0,14.5,98.0,active
baseline,0,18,18,90.0,12.0,193.5,active
baseline,0,19,18,90.0,15.5,696.5,active
baseline,0,20,18,90.0,8.5,394.0,active
baseline,0,21,18,90.0,16.5,195.5,active
baseline,0,22,18,90.0,15.5,0.5,active
baseline,0,23,18,90.0,15.5,797.0,active
baseline,0,24,18,90.0,14.5,501.5,active
baseline,0,25,18,90.0,18.0,794.0,active
baseline,0,26,18,90.0,13.5,94.5,active
baseline,0,27,18,90.0,15.5,96.0,active
baseline,0,28,18,90.0,17.0,595.0,active
baseline,0,29,18,90.0,11.5,194.5,active
baseline,0,0,19,95.0,6.5,397.5,active
baseline,0,1,19,95.0,16.0,96.0,active
